alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-8.0,-0.8004224896430969,0.008160422556102276,-0.0021384572610259056,-6.154993534088135,True,False,1.571306711412035e-05,
-7.75,-0.7714835405349731,0.008042576722800732,-0.0018412548815831542,-5.864465713500977,True,False,2.4836324996613257e-07,
-7.5,-0.7426042556762695,0.007918315008282661,-0.0015457295812666416,-5.584702968597412,True,False,1.4233023648557719e-06,
-7.25,-0.7139299511909485,0.007767518982291222,-0.0012278507929295301,-5.3274922370910645,True,False,3.3558230825292412e-06,
-7.0,-0.6851284503936768,0.007636864669620991,-0.0009489094954915345,-5.073061943054199,True,False,1.9809860987152206e-06,
-6.75,-0.6561473608016968,0.007527906447649002,-0.0007103230454958975,-4.822944164276123,True,False,6.277876673266292e-05,
-6.5,-0.6270186305046082,0.0074279215186834335,-0.0005049241008237004,-4.577476978302002,True,False,7.205429142231878e-08,
-6.25,-0.5978524684906006,0.007338258437812328,-0.0003193286538589746,-4.337473392486572,True,False,9.453289635530382e-07,
-6.0,-0.568930983543396,0.007223368156701326,-0.00010050556011265144,-4.106303691864014,True,False,7.484846719307825e-05,
-5.75,-0.5398852825164795,0.00710523035377264,8.671625982969999e-05,-3.878587007522583,True,False,2.13990730912883e-07,
-5.5,-0.5107276439666748,0.007020185701549053,0.00023758990573696792,-3.6554040908813477,True,False,3.12613119604066e-05,
-5.25,-0.481402724981308,0.006942394655197859,0.00035285489866510034,-3.445591926574707,True,False,8.78871651366353e-06,
-5.0,-0.45231321454048157,0.006842200178653002,0.0005011369357816875,-3.2487096786499023,True,False,2.8800986910937354e-05,
-4.75,-0.4231157600879669,0.006747477222234011,0.0006185189704410732,-3.0548300743103027,True,False,3.0189368771971203e-05,
-4.5,-0.3937920033931732,0.006683956366032362,0.0006995632429607213,-2.8649020195007324,True,False,9.03552859199408e-08,
-4.25,-0.3644285500049591,0.006600364111363888,0.0007743288879282773,-2.680183172225952,True,False,5.3602772823069245e-05,
-4.0,-0.33524274826049805,0.006525525823235512,0.0008585032192058861,-2.5006415843963623,True,False,4.334047844167799e-06,
-3.75,-0.30579617619514465,0.006456842180341482,0.0008950936025939882,-2.3243954181671143,True,False,4.1626769586855517e-08,
