alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-6.0,,,,,False,True,14.56004810333252,boundary-layer Newton solve diverged (NaN) mid-iteration
-5.75,,,,,False,True,14.56004810333252,boundary-layer Newton solve diverged (NaN) mid-iteration
-5.5,,,,,False,True,14.56004810333252,boundary-layer Newton solve diverged (NaN) mid-iteration
-5.25,,,,,False,True,14.56004810333252,boundary-layer Newton solve diverged (NaN) mid-iteration
-5.0,,,,,False,True,14.56004810333252,boundary-layer Newton solve diverged (NaN) mid-iteration
-4.75,,,,,False,True,14.56004810333252,boundary-layer Newton solve diverged (NaN) mid-iteration
-4.5,,,,,False,True,14.56004810333252,boundary-layer Newton solve diverged (NaN) mid-iteration
-4.25,,,,,False,True,14.56004810333252,boundary-layer Newton solve diverged (NaN) mid-iteration
-4.0,-0.4492951035499573,0.006597043015062809,-0.05995756387710571,-3.5136873722076416,True,False,2.1952528186375275e-05,
-3.75,-0.40156641602516174,0.006385931745171547,-0.058616239577531815,-3.023746967315674,True,False,5.952015840193781e-07,
-3.5,-0.354588121175766,0.006191534455865622,-0.057640787214040756,-2.597628593444824,True,False,2.8198694508319022e-06,
-3.25,-0.30805593729019165,0.00601337943226099,-0.056932199746370316,-2.2196428775787354,True,False,6.136364731901267e-07,
-3.0,-0.2621125876903534,0.0058709438890218735,-0.056410130113363266,-1.907535433769226,True,False,8.742682666706969e-07,
-2.75,-0.21637900173664093,0.005734992679208517,-0.056083038449287415,-1.6357314586639404,True,False,9.41303587751463e-05,
-2.5,-0.1710408478975296,0.005600377917289734,-0.05590026080608368,-1.4053082466125488,True,False,3.638885755208321e-05,
-2.25,-0.1262405663728714,0.0054829358123242855,-0.05581491440534592,-1.2080758810043335,True,False,3.599970295908861e-05,
-2.0,-0.08142673224210739,0.0053627765737473965,-0.055866874754428864,-1.031414270401001,True,False,3.038117938558571e-05,
-1.75,-0.036866385489702225,0.0052505237981677055,-0.05600471422076225,-0.8806664943695068,True,False,6.918286885593261e-07,
-1.5,0.007222906220704317,0.005138351581990719,-0.05619778856635094,-0.7518804669380188,True,False,1.8820445575329359e-06,
-1.25,0.051306821405887604,0.004967958200722933,-0.05651504546403885,-0.636821448802948,True,False,3.270607703598216e-05,
-1.0,0.0945281982421875,0.004634493961930275,-0.05698096752166748,-0.6387096643447876,True,False,1.651015190873295e-05,
-0.75,0.13752372562885284,0.00423276936635375,-0.05760795250535011,-0.6630107164382935,True,False,3.782551357289776e-05,
-0.5,0.18154266476631165,0.003956766799092293,-0.05824727937579155,-0.688765287399292,True,False,4.2715259951364715e-07,
-0.25,0.22579823434352875,0.003834113711491227,-0.05877000093460083,-0.7152407169342041,True,False,2.1057356207165867e-05,
0.0,0.27034813165664673,0.003798065474256873,-0.0592285692691803,-0.7420685291290283,True,False,2.5004669623740483e-06,
0.25,0.315083384513855,0.003753270721063018,-0.059698689728975296,-0.7702034115791321,True,False,5.314017471391708e-06,
0.5,0.3593595325946808,0.0037646458949893713,-0.06005919724702835,-0.7982521057128906,True,False,3.044961204068386e-06,
0.75,0.40215232968330383,0.003896854119375348,-0.060166675597429276,-0.8264870047569275,True,False,2.520437556086108e-05,
1.0,0.44327273964881897,0.004171415697783232,-0.05998750030994415,-0.8536375761032104,True,False,1.0174816452490631e-05,
1.25,0.48461177945137024,0.004435950890183449,-0.05977778509259224,-0.8819975256919861,True,False,2.8327029212960042e-05,
1.5,,,,,False,False,0.001953558064997196,did not converge within the iteration budget (final RMS residual 0.00195)
1.75,0.5583921670913696,0.005512605886906385,-0.057993367314338684,-1.0265214443206787,True,False,2.411179025330057e-07,
2.0,0.5972579121589661,0.005922561511397362,-0.05714062228798866,-1.164726734161377,True,False,5.177654202270787e-06,
2.25,0.6373394727706909,0.006263412535190582,-0.056292928755283356,-1.3166981935501099,True,False,4.936003824695945e-05,
2.5,0.6792501211166382,0.006506466306746006,-0.055537860840559006,-1.5008244514465332,True,False,7.257658580783755e-07,
2.75,0.7217658162117004,0.006739338394254446,-0.05467327684164047,-1.6988648176193237,True,False,3.402290928988805e-07,
3.0,0.7648122310638428,0.006954445503652096,-0.05369766801595688,-1.9333339929580688,True,False,6.0650298109976575e-05,
3.25,0.8085102438926697,0.007157497573643923,-0.05258740484714508,-2.191664457321167,True,False,2.134748910975759e-06,
3.5,,,,,False,False,0.0013265875168144703,did not converge within the iteration budget (final RMS residual 0.00133)
3.75,0.8957400321960449,0.007631652522832155,-0.04955415427684784,-2.809480667114258,True,False,1.618982059881091e-05,
4.0,0.9400403499603271,0.007876163348555565,-0.047634247690439224,-3.1833205223083496,True,False,1.6807756765047088e-05,
4.25,0.983389139175415,0.008185060694813728,-0.045158904045820236,-3.5967421531677246,True,False,6.966068031033501e-05,
4.5,,,,,False,True,0.06550852209329605,boundary-layer Newton solve diverged (NaN) mid-iteration
4.75,,,,,False,True,0.06550852209329605,boundary-layer Newton solve diverged (NaN) mid-iteration
5.0,,,,,False,True,0.06550852209329605,boundary-layer Newton solve diverged (NaN) mid-iteration
5.25,,,,,False,True,0.06550852209329605,boundary-layer Newton solve diverged (NaN) mid-iteration
5.5,,,,,False,True,0.06550852209329605,boundary-layer Newton solve diverged (NaN) mid-iteration
5.75,,,,,False,True,0.06550852209329605,boundary-layer Newton solve diverged (NaN) mid-iteration
6.0,,,,,False,True,0.06550852209329605,boundary-layer Newton solve diverged (NaN) mid-iteration
6.25,,,,,False,True,0.06550852209329605,boundary-layer Newton solve diverged (NaN) mid-iteration
