alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-8.0,-0.4302481412887573,0.006319842766970396,-0.11232484132051468,-3.012922525405884,True,False,2.452628450555494e-06,
-7.75,-0.3985554277896881,0.006207376718521118,-0.11304858326911926,-2.8300206661224365,True,False,5.084801557586616e-08,
-7.5,-0.3671330213546753,0.00611763633787632,-0.11369667202234268,-2.652120351791382,True,False,1.0673483075152035e-06,
-7.25,-0.33529290556907654,0.005998246371746063,-0.1144639104604721,-2.479231357574463,True,False,5.531239730771631e-05,
-7.0,-0.30336424708366394,0.005875143222510815,-0.1152530089020729,-2.320463180541992,True,False,1.311906885348435e-07,
-6.75,-0.27209174633026123,0.005803856998682022,-0.11586248129606247,-2.1668949127197266,True,False,1.3655841030413285e-05,
-6.5,-0.24015240371227264,0.005686297547072172,-0.11665467172861099,-2.015955686569214,True,False,5.697930305359478e-07,
-6.25,,,,,False,False,0.00013400660827755928,did not converge within the iteration budget (final RMS residual 0.000134)
-6.0,-0.1768808513879776,0.005514577496796846,-0.11807192862033844,-1.7449947595596313,True,False,4.367754229406273e-07,
-5.75,-0.1453658938407898,0.0054470328614115715,-0.11873967200517654,-1.623809814453125,True,False,2.5326819468318718e-06,
-5.5,-0.1140763908624649,0.005403066985309124,-0.11935094743967056,-1.5055235624313354,True,False,9.519499144516885e-05,
-5.25,-0.08302190899848938,0.005381346680223942,-0.11988769471645355,-1.3902548551559448,True,False,5.5770797189325094e-05,
-5.0,-0.05176863446831703,0.005348251201212406,-0.12047964334487915,-1.2805103063583374,True,False,3.9430928154615685e-05,
-4.75,-0.0202141385525465,0.005292289424687624,-0.1211523711681366,-1.1775968074798584,True,False,6.389527698047459e-05,
-4.5,0.01146459486335516,0.00523015484213829,-0.12185913324356079,-1.0769317150115967,True,False,1.2425377462932374e-05,
-4.25,0.042849693447351456,0.005196052603423595,-0.1224868968129158,-0.9789685606956482,True,False,9.720697562443092e-05,
-4.0,0.0744583010673523,0.005155981983989477,-0.12319249659776688,-0.8852843642234802,True,False,2.4811874936858658e-06,
-3.75,0.10545270144939423,0.005195384379476309,-0.12377483397722244,-0.7992272973060608,True,False,1.4446763998421375e-05,
-3.5,0.13505128026008606,0.0054390220902860165,-0.12412534654140472,-0.7171905040740967,True,False,8.78263199410867e-06,
-3.25,0.1648065745830536,0.005722512491047382,-0.12460464239120483,-0.6371142864227295,True,False,9.100078750634566e-05,
-3.0,0.19563837349414825,0.005885752383619547,-0.12531350553035736,-0.5660299062728882,True,False,3.224885404051747e-06,
-2.75,0.22680269181728363,0.005991560872644186,-0.12605395913124084,-0.507655143737793,True,False,9.290724847232923e-06,
-2.5,0.2581811547279358,0.006074895616620779,-0.12683644890785217,-0.4501166045665741,True,False,8.96305118658347e-06,
-2.25,0.2896670401096344,0.006130535155534744,-0.12761032581329346,-0.4284750521183014,True,False,2.885771266392112e-07,
-2.0,0.32095062732696533,0.006217581685632467,-0.12834671139717102,-0.4859272241592407,True,False,8.365569374291226e-05,
-1.75,0.3519374132156372,0.006325690075755119,-0.12899067997932434,-0.544151782989502,True,False,5.822446109959856e-05,
-1.5,0.3830125033855438,0.006396931130439043,-0.12960708141326904,-0.6134108901023865,True,False,2.5545608878019266e-05,
-1.25,0.41427379846572876,0.006446950137615204,-0.13025864958763123,-0.6896106004714966,True,False,8.659259265186847e-07,
-1.0,0.44754505157470703,0.006364906206727028,-0.1314873993396759,-0.775019109249115,True,False,6.747459701728076e-05,
-0.75,0.4801546037197113,0.006285209208726883,-0.13246940076351166,-0.8632709383964539,True,False,2.535633757361211e-05,
-0.5,0.510604739189148,0.006356036756187677,-0.132827028632164,-0.9505248069763184,True,False,3.132970232400112e-05,
-0.25,0.5409818291664124,0.0064365435391664505,-0.1331673413515091,-1.0445705652236938,True,False,5.38603217137279e-07,
0.0,0.5710484981536865,0.0065300194546580315,-0.1334037482738495,-1.142260193824768,True,False,3.5478580684866756e-05,
0.25,0.601127028465271,0.006617348175495863,-0.13363413512706757,-1.2423250675201416,True,False,2.2030856428045809e-07,
0.5,0.631077229976654,0.006700668018311262,-0.13380968570709229,-1.3445944786071777,True,False,1.4074018963583512e-06,
0.75,0.6609323620796204,0.006803027354180813,-0.1339685320854187,-1.4550186395645142,True,False,3.1021706945466576e-06,
1.0,0.6905484795570374,0.006916136480867863,-0.13405175507068634,-1.5692499876022339,True,False,8.696436998434365e-05,
1.25,0.7201523780822754,0.007021348923444748,-0.13411688804626465,-1.6860966682434082,True,False,2.6004861410910962e-06,
1.5,0.7495249509811401,0.007155979983508587,-0.13413064181804657,-1.8049412965774536,True,False,8.140443242155015e-06,
1.75,0.7790799736976624,0.007267728913575411,-0.13418084383010864,-1.9326506853103638,True,False,1.5131295185710769e-05,
2.0,0.8085592985153198,0.007392517291009426,-0.13421298563480377,-2.066159963607788,True,False,1.0606544492475223e-05,
2.25,0.8379817008972168,0.007519950624555349,-0.13422678411006927,-2.211210012435913,True,False,1.8885964891524054e-05,
2.5,0.8674468994140625,0.0076349759474396706,-0.13423499464988708,-2.3614084720611572,True,False,3.2774806868474116e-08,
2.75,0.8968446254730225,0.007751640398055315,-0.13422147929668427,-2.5161924362182617,True,False,8.027830517676193e-06,
3.0,0.9260475039482117,0.007891412824392319,-0.1341584473848343,-2.6841952800750732,True,False,9.625850361771882e-05,
3.25,0.9553040862083435,0.008017088286578655,-0.13409267365932465,-2.8564469814300537,True,False,6.355945458835777e-08,
3.5,,,,,False,False,0.010391531512141228,did not converge within the iteration budget (final RMS residual 0.0104)
3.75,1.0138499736785889,0.008257039822638035,-0.13395652174949646,-3.2143101692199707,True,False,1.0259477676299866e-05,
4.0,1.0429327487945557,0.008403321728110313,-0.13384400308132172,-3.3983774185180664,True,False,8.790168237737817e-08,
