alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-1.75,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
-1.5,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
-1.25,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
-1.0,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
-0.75,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
-0.5,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
-0.25,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
0.0,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
0.25,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
0.5,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
0.75,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
1.0,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
1.25,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
1.5,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
1.75,,,,,False,True,,boundary-layer Newton solve diverged (NaN) mid-iteration
