alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-6.0,-0.40127456188201904,0.030220353975892067,-0.12591958045959473,-3.97275447845459,True,False,2.532561438783887e-06,
-5.75,-0.4135729670524597,0.02675698511302471,-0.1242581233382225,-3.986290454864502,True,False,1.6650568568365998e-06,
-5.5,-0.4192071259021759,0.023023851215839386,-0.12271060049533844,-4.0433030128479,True,False,1.742624408507254e-05,
-5.25,-0.4208846688270569,0.019391635432839394,-0.12027095258235931,-4.134159088134766,True,False,2.608181375762797e-06,
-5.0,-0.41686496138572693,0.01598740741610527,-0.11712855100631714,-4.203174114227295,True,False,2.433921690681018e-05,
-4.75,-0.4060406982898712,0.012906594201922417,-0.11352331191301346,-4.2262468338012695,True,False,1.059557052940363e-05,
-4.5,-0.38957279920578003,0.010083076544106007,-0.10962380468845367,-4.228360176086426,True,False,5.316562692314619e-06,
-4.25,-0.36748895049095154,0.007799176033586264,-0.1053602546453476,-4.188286781311035,True,False,4.436715244082734e-06,
-4.0,-0.33699363470077515,0.006550836842507124,-0.10109628736972809,-4.0547685623168945,True,False,4.093436018592911e-06,
-3.75,-0.2972499430179596,0.0060182553716003895,-0.09788866341114044,-3.7206828594207764,True,False,1.3299096508490038e-06,
-3.5,-0.25373178720474243,0.005799289792776108,-0.09565342217683792,-3.3224122524261475,True,False,4.267693839210551e-06,
-3.25,-0.20935951173305511,0.005660921800881624,-0.09400570392608643,-2.944688558578491,True,False,2.2205520053830696e-06,
-3.0,-0.1648724228143692,0.005548763554543257,-0.09272750467061996,-2.599691152572632,True,False,8.662441359774675e-06,
-2.75,-0.12066087871789932,0.0054317498579621315,-0.0916934460401535,-2.2928688526153564,True,False,2.4732506176405877e-07,
-2.5,-0.07740060985088348,0.00534821767359972,-0.09072738885879517,-2.0294442176818848,True,False,2.6257393983541988e-06,
-2.25,-0.03377498686313629,0.0052618482150137424,-0.0900203138589859,-1.7859752178192139,True,False,1.8160146737500327e-06,
-2.0,0.00876837782561779,0.005187204107642174,-0.08929304033517838,-1.562438726425171,True,False,3.788584081121371e-06,
