alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-8.0,-0.6780343055725098,0.006930245086550713,-0.060336410999298096,-5.266088962554932,True,False,1.6866677015059395e-06,
-7.75,-0.649152934551239,0.0067759230732917786,-0.06037838011980057,-5.012483596801758,True,False,1.448014700144995e-06,
-7.5,-0.6202272176742554,0.006636421196162701,-0.06042776629328728,-4.764242172241211,True,False,1.7897345969686285e-06,
-7.25,-0.591326892375946,0.006508402526378632,-0.06047284975647926,-4.521292686462402,True,False,1.883664594970469e-06,
-7.0,-0.5626543164253235,0.006369077600538731,-0.06047319248318672,-4.287193775177002,True,False,7.976221922945115e-07,
-6.75,-0.534114420413971,0.006221893709152937,-0.06045673042535782,-4.059602737426758,True,False,5.905119905946776e-05,
-6.5,-0.5051628351211548,0.0060744215734303,-0.06054070219397545,-3.83385968208313,True,False,6.715984568472777e-08,
-6.25,-0.47609904408454895,0.005947871133685112,-0.06064455956220627,-3.6124942302703857,True,False,4.067144345754059e-06,
-6.0,-0.4470566511154175,0.005841771140694618,-0.060739368200302124,-3.3963096141815186,True,False,1.0090368050441612e-05,
-5.75,-0.41818588972091675,0.005748560652136803,-0.06079743802547455,-3.1879491806030273,True,False,8.508938549312006e-07,
-5.5,-0.38930657505989075,0.005620449315756559,-0.060873229056596756,-3.000223159790039,True,False,6.758601375622675e-05,
-5.25,-0.3603442311286926,0.005507008172571659,-0.060968492180109024,-2.814929962158203,True,False,1.4817311466686078e-07,
-5.0,-0.33169397711753845,0.005435619503259659,-0.06098601594567299,-2.6346657276153564,True,False,4.527644705376588e-06,
-4.75,-0.3028978109359741,0.005369284190237522,-0.06103561446070671,-2.458594799041748,True,False,2.6766863925331563e-07,
-4.5,-0.2743934392929077,0.005289718508720398,-0.0610339418053627,-2.288870096206665,True,False,6.178109401844267e-07,
-4.25,-0.2458285391330719,0.005226584151387215,-0.06105199083685875,-2.1224277019500732,True,False,7.10220992914401e-05,
-4.0,-0.2170860320329666,0.005182651337236166,-0.061107464134693146,-1.959611415863037,True,False,1.6292768805215019e-06,
