alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-6.0,-0.458008736371994,0.008607415482401848,-0.1428358405828476,-4.14459753036499,True,False,1.0723993909778073e-05,
-5.75,-0.38798654079437256,0.007676928769797087,-0.1459309160709381,-3.6653075218200684,True,False,3.106458461843431e-05,
-5.5,-0.32548239827156067,0.00724433921277523,-0.14752186834812164,-3.254564046859741,True,False,7.87176213634666e-06,
-5.25,-0.2657150328159332,0.006928023882210255,-0.14897765219211578,-2.8964600563049316,True,False,1.987072937481571e-05,
-5.0,-0.20686198770999908,0.006644637323915958,-0.15066339075565338,-2.5736591815948486,True,False,1.973109419850516e-06,
-4.75,-0.14977926015853882,0.006421099416911602,-0.15224386751651764,-2.294950008392334,True,False,1.1258960057602962e-06,
-4.5,-0.09397900104522705,0.00622333399951458,-0.15379458665847778,-2.0459885597229004,True,False,3.21305233228486e-05,
-4.25,-0.03911605104804039,0.006049707066267729,-0.15537968277931213,-1.8153064250946045,True,False,2.9171551432227716e-05,
-4.0,0.013402891345322132,0.00595384556800127,-0.15656748414039612,-1.6049500703811646,True,False,1.1713366347976262e-06,
-3.75,0.06415737420320511,0.00592825235798955,-0.15757787227630615,-1.4210785627365112,True,False,3.443939203862101e-05,
-3.5,0.10892161726951599,0.006175773683935404,-0.15756714344024658,-1.2617954015731812,True,False,3.2415664463769644e-06,
-3.25,0.15088336169719696,0.006577771157026291,-0.15725857019424438,-1.116987943649292,True,False,9.632835826778319e-06,
-3.0,0.19340582191944122,0.006953644100576639,-0.15716953575611115,-0.9801848530769348,True,False,2.9437694593070773e-07,
-2.75,0.23910799622535706,0.007176315877586603,-0.1577143520116806,-0.8603073358535767,True,False,2.4294449758599512e-05,
-2.5,0.28737252950668335,0.00727795111015439,-0.15876364707946777,-0.7622174024581909,True,False,3.515207936288789e-06,
-2.25,0.33413368463516235,0.007404194679111242,-0.15938055515289307,-0.6689647436141968,True,False,7.718718552496284e-05,
-2.0,,,,,False,False,0.012348432093858719,did not converge within the iteration budget (final RMS residual 0.0123)
-1.75,0.4343996047973633,0.007461616303771734,-0.16221030056476593,-0.7482357025146484,True,False,2.7293623134028167e-05,
-1.5,0.4849432706832886,0.0074417623691260815,-0.16354303061962128,-0.85042804479599,True,False,1.28221881823265e-05,
-1.25,,,,,False,False,0.006089821923524141,did not converge within the iteration budget (final RMS residual 0.00609)
-1.0,0.5851667523384094,0.007489186245948076,-0.1658719927072525,-1.1208465099334717,True,False,1.2908048120152671e-05,
-0.75,0.6365743279457092,0.007470141164958477,-0.1671428233385086,-1.282122254371643,True,False,6.505414944513177e-07,
-0.5,0.6845667958259583,0.00754549028351903,-0.1674061119556427,-1.4481215476989746,True,False,7.898612238932401e-05,
-0.25,0.7419050335884094,0.007397762034088373,-0.16984020173549652,-1.642480731010437,True,False,3.7588651480291446e-07,
0.0,0.7908934950828552,0.007469942793250084,-0.1699671447277069,-1.8447282314300537,True,False,7.919841209513834e-07,
0.25,0.8378308415412903,0.007609930355101824,-0.16936680674552917,-2.0577518939971924,True,False,5.709239485440776e-05,
0.5,0.8845003247261047,0.007764960639178753,-0.16843658685684204,-2.28488826751709,True,False,9.127284670285007e-07,
0.75,0.9307248592376709,0.007944525219500065,-0.16710549592971802,-2.5254623889923096,True,False,7.353366981988074e-07,
1.0,0.9768948554992676,0.008143795654177666,-0.16545428335666656,-2.7982187271118164,True,False,9.642534132581204e-05,
1.25,1.0235010385513306,0.008362306281924248,-0.16354671120643616,-3.1000912189483643,True,False,7.70268525229767e-05,
1.5,1.0707200765609741,0.008596885949373245,-0.16132575273513794,-3.4314773082733154,True,False,3.6407102015800774e-05,
1.75,1.1176444292068481,0.008897830732166767,-0.1584894359111786,-3.7970361709594727,True,False,8.855859050527215e-07,
2.0,1.1615248918533325,0.009435312822461128,-0.15439340472221375,-4.154207229614258,True,False,1.5158204405452125e-05,
2.25,,,,,False,True,0.726328432559967,boundary-layer Newton solve diverged (NaN) mid-iteration
2.5,,,,,False,True,0.726328432559967,boundary-layer Newton solve diverged (NaN) mid-iteration
2.75,,,,,False,True,0.726328432559967,boundary-layer Newton solve diverged (NaN) mid-iteration
3.0,,,,,False,True,0.726328432559967,boundary-layer Newton solve diverged (NaN) mid-iteration
3.25,,,,,False,True,0.726328432559967,boundary-layer Newton solve diverged (NaN) mid-iteration
3.5,,,,,False,True,0.726328432559967,boundary-layer Newton solve diverged (NaN) mid-iteration
3.75,,,,,False,True,0.726328432559967,boundary-layer Newton solve diverged (NaN) mid-iteration
4.0,,,,,False,True,0.726328432559967,boundary-layer Newton solve diverged (NaN) mid-iteration
