alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-8.0,-0.6781780123710632,0.006937987171113491,-0.06027645990252495,-5.2694220542907715,True,False,2.654275704117026e-06,
-7.75,-0.6495251655578613,0.006779222749173641,-0.06027151644229889,-5.016891002655029,True,False,5.735568606723973e-07,
-7.5,-0.6208447217941284,0.006640998180955648,-0.060267362743616104,-4.769749641418457,True,False,4.386904038256034e-05,
-7.25,-0.5921279191970825,0.006517282221466303,-0.0602731928229332,-4.527663230895996,True,False,6.546870736201527e-06,
-7.0,-0.5630773305892944,0.006390300113707781,-0.06035895273089409,-4.289488315582275,True,False,2.0559897166094743e-05,
-6.75,-0.534162700176239,0.006242768373340368,-0.06042191758751869,-4.059964179992676,True,False,8.992895163828507e-05,
-6.5,-0.5053771734237671,0.006098542362451553,-0.06046424061059952,-3.8355369567871094,True,False,6.788138051661008e-08,
-6.25,-0.4766831398010254,0.005974227096885443,-0.06048821657896042,-3.615710496902466,True,False,4.83633766634739e-06,
-6.0,-0.4477725028991699,0.005864650011062622,-0.060560066252946854,-3.4000983238220215,True,False,1.3292457879288122e-05,
-5.75,-0.41858533024787903,0.005760230123996735,-0.06069309264421463,-3.1906354427337646,True,False,2.0006514489523397e-07,
-5.5,-0.3896855413913727,0.0056567746214568615,-0.06076401099562645,-3.0015928745269775,True,False,6.071895199966093e-07,
-5.25,-0.36102956533432007,0.0055510615929961205,-0.060792434960603714,-2.8177473545074463,True,False,1.4415901716802182e-07,
-5.0,-0.3324010968208313,0.005470837000757456,-0.06081097573041916,-2.6375937461853027,True,False,9.457462147111073e-05,
-4.75,-0.30379191040992737,0.005415054038167,-0.06082385405898094,-2.4617724418640137,True,False,1.999699088628404e-05,
-4.5,-0.275455117225647,0.005371364764869213,-0.06078198552131653,-2.291896343231201,True,False,2.8273319912841544e-05,
-4.25,-0.24710862338542938,0.005312436260282993,-0.060758061707019806,-2.126338243484497,True,False,8.745616497662922e-08,
-4.0,-0.21834176778793335,0.005255840718746185,-0.06082627549767494,-1.9634602069854736,True,False,3.2328063070963253e-07,
-3.75,-0.18958614766597748,0.005208762362599373,-0.06089208647608757,-1.8175431489944458,True,False,2.665849763161532e-07,
-3.5,-0.16100230813026428,0.005152777768671513,-0.060931988060474396,-1.6762957572937012,True,False,7.132697646738961e-06,
-3.25,-0.13204814493656158,0.005104482639580965,-0.06104627624154091,-1.5374690294265747,True,False,1.9742527001653798e-05,
-3.0,-0.10324439406394958,0.00505456980317831,-0.06113390997052193,-1.4031652212142944,True,False,3.6726285657096014e-07,
-2.75,-0.07457319647073746,0.00501377834007144,-0.06119972839951515,-1.2725677490234375,True,False,2.0452768012546585e-07,
-2.5,-0.04570282623171806,0.004962284583598375,-0.06130630895495415,-1.1555904150009155,True,False,1.3739768291998189e-05,
-2.25,-0.016811469569802284,0.004920822102576494,-0.06141993775963783,-1.0419756174087524,True,False,2.6305971800866246e-07,
-2.0,0.01145427580922842,0.004903615918010473,-0.06140918284654617,-0.9328982830047607,True,False,7.047549843264278e-06,
-1.75,0.038453202694654465,0.004973478615283966,-0.06114763021469116,-0.8299480676651001,True,False,8.052560588112101e-06,
-1.5,0.06508814543485641,0.005078549031168222,-0.06082407757639885,-0.7383270859718323,True,False,3.1229708838509396e-05,
-1.25,0.09140019118785858,0.0051988279446959496,-0.06045341491699219,-0.6496906280517578,True,False,2.806321754178498e-05,
-1.0,0.11616432666778564,0.005396970547735691,-0.059814613312482834,-0.5679395794868469,True,False,8.94805089046713e-06,
-0.75,0.14220401644706726,0.005541924387216568,-0.05942264944314957,-0.4916914701461792,True,False,7.438224542966054e-07,
-0.5,0.16855911910533905,0.005634691100567579,-0.05910369008779526,-0.4170202910900116,True,False,1.7079353256121976e-06,
-0.25,0.1960906833410263,0.005643782205879688,-0.05900205299258232,-0.3958743214607239,True,False,3.1010986276669428e-06,
0.0,0.2237231731414795,0.0056434860453009605,-0.05892203748226166,-0.4216283857822418,True,False,1.173429518530611e-05,
0.25,,,,,False,False,0.005711225792765617,did not converge within the iteration budget (final RMS residual 0.00571)
0.5,0.2773836553096771,0.005729444790631533,-0.0584917813539505,-0.5194073915481567,True,False,1.9917897589039057e-06,
