alpha,CL,CDi,CMy,CDo_vsp,CDtot_vsp,CD_profile,CD_profile_cos3,M_crit,M_dd,CD_wave,CD,CD_cos3,L_D,L_D_no_wave,n_stalled,max_cl_ratio,y_max_cl_ratio
-4.0,-0.099961676908,0.000402635602,-0.00133473169,0.00443277263,0.00471851235,0.0064127680132332575,0.00488661736674706,0.705145794351559,0.8128675288531532,0.0003538201587788902,0.007169223774012148,0.005643073127525951,-13.94316596314833,-14.667022314654037,0,-0.038655162400953284,13.6623
-3.0,0.006161165297,2.381116e-06,0.000182557804,0.004371089994,0.004330611573,0.006219497063199048,0.004739342246397167,0.6917395070780165,0.7994612415796106,0.0007502401660794235,0.006972118345278471,0.0054919635284765905,0.8836862760903005,0.9902420329600758,0,0.006211386174017063,0.2954
-2.0,0.112341402964,0.000513041738,0.001529520661,0.004451555661,0.004833023265,0.006097746463913821,0.0046465666163336234,0.6783259691500834,0.7860477036516775,0.001412587326039711,0.008023375527953533,0.006572195680373334,14.00176304506766,16.99364728270635,0,0.10578688279591171,9.65547
-1.0,0.218511619623,0.001936869765,0.00270301741,0.004674092603,0.006226805044,0.006041167359706869,0.004603452561273135,0.6649136971561305,0.7726354316577246,0.0024390148657146594,0.01041705199042153,0.008979337191987794,20.97633954634394,27.38914550125368,0,0.20549686139180404,9.65547
0.0,0.324607325041,0.004274783617,0.003700434651,0.00503819143,0.008511041726,0.006029750869657302,0.0045947530389407526,0.6515108380188369,0.7592325725204311,0.003942253136359005,0.014246787623016307,0.012811789792299758,22.784597737428378,31.50140605199718,0,0.30514800412407234,9.04887
1.0,0.43094926413,0.007526469965,0.003917800421,0.005542895234,0.011709417905,0.00605953525999308,0.004617449153749902,0.6380768726723497,0.7457986071739439,0.006057783496147773,0.01964378872114085,0.018201702614897675,21.938194828282178,31.72008673581381,0,0.40469828537584246,9.04887
2.0,0.536773956156,0.011691040943,0.004434733819,0.006186826502,0.015779249039,0.0056538152731199064,0.004308284947310563,0.6247082501170458,0.73242998461864,0.008912382419862698,0.026257238635982602,0.02491170831017326,20.44289438038665,30.947155137390805,0,0.504114084653615,9.04887
3.0,0.642931647788,0.01676628691,0.003793480285,0.006968090798,0.020786031528,0.005292649069290688,0.004033071335922782,0.6112975603848055,0.7190192948863997,0.0126871597188149,0.03474609569810559,0.033486517964737686,18.503709118116934,29.146086120907885,0,0.6033365660937657,9.65547
4.0,0.748367675007,0.022748509212,0.003574412273,0.007884418989,0.026648454492,0.005421468004212986,0.004131233134892925,0.5979780370804026,0.7056997715819968,0.017513203406541243,0.04568318062275423,0.044392945753434165,16.38168938338429,26.5661441350504,0,0.7023405143261703,9.65547
5.0,0.853442624305,0.02962789079,0.003082516142,0.00893307585,0.033397674028,0.005784778695501876,0.004408080875200007,0.5847041280305418,0.692425862532136,0.02357724043986628,0.05898990992536816,0.057613212105066286,14.467603449212652,24.099923465368903,0,0.8010754986105795,9.65547
6.0,0.957946278626,0.037387721929,0.002536814713,0.010110878688,0.041000951739,0.006327203706075547,0.004821416188649283,0.5715023895371838,0.679224124038778,0.03104925097636066,0.07476417661143621,0.07325838909400995,12.812904816763126,21.913482974276697,0,0.8994994933301191,9.65547
7.0,1.061949808339,0.046011765844,0.001727516358,0.011414197564,0.049471457406,0.0071617819754530385,0.005457376300824546,0.5583638307893743,0.6660855652909685,0.04012264572082285,0.09329619354027588,0.0915917878656474,11.382563082603765,19.971392767410865,0,0.9975788779912899,9.65547
8.0,1.165325789351,0.055487581872,0.000744254533,0.012838907947,0.058764497125,,,0.545304549018971,0.6530262835205651,0.05098085515507722,,,,,13,1.0952548167304674,9.65547
9.0,1.268268857791,0.065802563033,-0.000794755589,0.014380452848,0.068919261973,,,0.5322999562314856,0.6400216907330798,0.0638479624594356,,,,,17,1.1924852839307778,9.65547
10.0,1.370406551444,0.076939118194,-0.002484862623,0.016033706879,0.079877010684,,,0.5193971048366453,0.6271188393382394,0.0788813494590086,,,,,20,1.289211443728597,9.65547
